1|MDoNER|AI-Based Early Warning and Landslide Risk Monitoring System in NER|Software
2|MDoNER|AI-Based Smart Logistics and Accessibility Intelligence Platform for NER|Software
3|MDoNER|AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in NER|Software
4|MDoNER|AI-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in NER|Hardware
5|MDoNER|Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in NER|Hardware
6|Ministry of Steel|Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement to East Coast|Software
7|Ministry of Steel|Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines|Hardware
8|Ministry of Steel|Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining|Hardware
9|Ministry of Steel|Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls|Software
10|Ministry of Rural Development|Survey/Resurvey of Rural Agricultural Land in India|Hardware
11|Ministry of Rural Development|3D ULPIN Generation and Vertical Property Mapping System|Software
12|Ministry of Rural Development|AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction Using Drone Imagery|Software
13|Ministry of Rural Development|Automated Integration and Intelligent Harmonization of Multi-source Geospatial Data for Urban Land Records|Software
14|Ministry of Rural Development|An Integrated GIS-based Digital Public Infrastructure for Land Governance|Software
15|Ministry of Rural Development|Geospatial Techniques to Interpret Geo-Coded Images to Enhance Watershed Development Outcomes|Software
16|Ministry of Rural Development|Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring|Software
17|Ministry of Rural Development|Predictive Analytics System for Early Detection of Land Acquisition Delays|Software
18|Ministry of Rural Development|Intelligent Land Record Digitization and Validation System|Software
19|Ministry of Rural Development|National Digital Platform for Research, Policy Innovation and Evidence-Based Land Governance|Software
20|Ministry of MSME|Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity|Hardware
21|Ministry of MSME|Honey Chain: Blockchain-Based Honey Traceability and Smart Beekeeping Management|Software
22|Ministry of MSME|Smart Solar-Powered Drying and Compact Packaging System for Home-Based Agarbatti Manufacturing|Hardware
23|Ministry of Coal|AI-Powered Geological, Mining and Other Reporting Solution for CMPDI/CIL Subsidiaries|Software
24|Ministry of Coal|AI-Based Smart Governance and Compliance Monitoring System for Coal Mines|Software
25|Ministry of Coal|AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System|Hardware
